({'V': 1, 'A': 4, 'N': 2, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8568427931292009, 0.6272155517438537, 0.5887740528458583))
({'V': 1, 'A': 4, 'N': 2, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8568661314413741, 0.6272155517438537, 0.5887881267358391))
({'V': 1, 'A': 3, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8571928678117998, 0.6271338724168913, 0.5887961571912755))
({'V': 3, 'A': 3, 'N': 2, 'R': 2, 'E': 4, 'DEFAULT': 0}, (0.8566794249439881, 0.6271338724168913, 0.5885014579461864))
({'V': 1, 'A': 3, 'N': 1, 'R': 2, 'E': 4, 'DEFAULT': 0}, (0.85712285287528, 0.627052193089929, 0.5886394968176685))
({'V': 3, 'A': 3, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.8568894697535474, 0.627052193089929, 0.5884033953120885))
({'V': 3, 'A': 3, 'N': 2, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8565160567587752, 0.627052193089929, 0.5885323670406742))
({'V': 3, 'A': 3, 'N': 2, 'R': 3, 'E': 4, 'DEFAULT': 0}, (0.856586071695295, 0.627052193089929, 0.5883305422719886))
({'V': 3, 'A': 4, 'N': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8569128080657207, 0.627052193089929, 0.5885976089055266))
({'V': 4, 'A': 2, 'N': 1, 'R': 1, 'E': 3, 'DEFAULT': 0}, (0.856772778192681, 0.627052193089929, 0.5881716406099109))
({'V': 4, 'A': 2, 'N': 2, 'R': 2, 'E': 1, 'DEFAULT': 0}, (0.8564693801344286, 0.627052193089929, 0.5884070697843139))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 1, 'DEFAULT': 0}, (0.8568894697535474, 0.627052193089929, 0.588038054547528))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8569828230022405, 0.627052193089929, 0.588038054547528))
({'V': 4, 'A': 3, 'N': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.856936146377894, 0.627052193089929, 0.5882030922649872))
({'V': 1, 'A': 3, 'N': 1, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8570995145631068, 0.6269705137629666, 0.5885705063593084))
({'V': 1, 'A': 3, 'N': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8570995145631068, 0.6269705137629666, 0.5886635646235288))
({'V': 1, 'A': 3, 'N': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8570761762509336, 0.6269705137629666, 0.5885492311077082))
({'V': 1, 'A': 4, 'N': 1, 'R': 1, 'E': 4, 'DEFAULT': 0}, (0.8573562359970127, 0.6269705137629666, 0.5884926561996989))
({'V': 1, 'A': 4, 'N': 2, 'R': 1, 'E': 2, 'DEFAULT': 0}, (0.8568661314413741, 0.6269705137629666, 0.5883933209733825))
({'V': 2, 'A': 2, 'N': 1, 'R': 2, 'E': 3, 'DEFAULT': 0}, (0.8566560866318148, 0.6269705137629666, 0.5882675627906648))
