({'N': 1, 'V': 3, 'DEFAULT': 0, 'E': 1, 'A': 4, 'R': 4}, (0.8331777445855115, 0.6289308176100629, 0.5879260798250465))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 2, 'A': 4, 'R': 4}, (0.8334578043315908, 0.6289308176100629, 0.5878126357584722))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 4, 'A': 4, 'R': 4}, (0.8332710978342046, 0.6289308176100629, 0.5877987723973284))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 3, 'A': 4, 'R': 4}, (0.8333177744585512, 0.6288491382831005, 0.5877367681968043))
({'N': 1, 'DEFAULT': 0, 'V': 4, 'E': 2, 'A': 3, 'R': 4}, (0.8335278192681105, 0.6287674589561382, 0.5875531592421425))
({'N': 1, 'V': 4, 'DEFAULT': 0, 'E': 1, 'A': 4, 'R': 4}, (0.8335044809559373, 0.6287674589561382, 0.5876501591973262))
({'N': 1, 'DEFAULT': 0, 'V': 4, 'E': 1, 'A': 3, 'R': 1}, (0.8336211725168036, 0.6286857796291758, 0.587451935009889))
({'N': 1, 'DEFAULT': 0, 'V': 4, 'E': 2, 'A': 3, 'R': 3}, (0.8335278192681105, 0.6286857796291758, 0.5871960031793307))
({'N': 1, 'DEFAULT': 0, 'V': 4, 'E': 4, 'A': 3, 'R': 1}, (0.8336678491411501, 0.6286857796291758, 0.5877199794394125))
({'N': 1, 'DEFAULT': 0, 'V': 3, 'E': 4, 'A': 3, 'R': 3}, (0.8331310679611651, 0.6286857796291758, 0.5876564881623142))
({'N': 1, 'DEFAULT': 0, 'V': 4, 'E': 1, 'A': 3, 'R': 2}, (0.8336678491411501, 0.6286041003022135, 0.5872566595836474))
({'N': 1, 'DEFAULT': 0, 'V': 3, 'E': 2, 'A': 3, 'R': 4}, (0.8331777445855115, 0.6286041003022135, 0.5874139923391861))
({'N': 1, 'DEFAULT': 0, 'V': 4, 'E': 3, 'A': 3, 'R': 1}, (0.8335978342046303, 0.6286041003022135, 0.5874644218209476))
({'N': 1, 'DEFAULT': 0, 'V': 4, 'E': 3, 'A': 3, 'R': 4}, (0.8335511575802838, 0.6286041003022135, 0.587415309875499))
({'N': 1, 'DEFAULT': 0, 'V': 3, 'E': 4, 'A': 3, 'R': 4}, (0.8330610530246453, 0.6286041003022135, 0.5875849940396857))
({'N': 1, 'DEFAULT': 0, 'V': 4, 'E': 4, 'A': 3, 'R': 4}, (0.8335511575802838, 0.6286041003022135, 0.5875121104525685))
({'N': 1, 'DEFAULT': 0, 'V': 3, 'E': 4, 'A': 2, 'R': 1}, (0.8334344660194175, 0.6285224209752511, 0.5872066241954413))
({'N': 1, 'DEFAULT': 0, 'V': 3, 'E': 1, 'A': 3, 'R': 3}, (0.8333644510828977, 0.6285224209752511, 0.5873006820321272))
({'N': 1, 'DEFAULT': 0, 'V': 4, 'E': 1, 'A': 3, 'R': 3}, (0.833574495892457, 0.6285224209752511, 0.5870720695051959))
({'N': 1, 'DEFAULT': 0, 'V': 3, 'E': 1, 'A': 3, 'R': 4}, (0.8332244212098581, 0.6285224209752511, 0.5873445178009588))
