({'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 1, 'R': 2}, (0.7731516056758775, 0.6290941762639876, 0.5746013570200174))
({'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 1, 'R': 1}, (0.7736183719193428, 0.6290124969370252, 0.5744595986072193))
({'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 2, 'R': 4}, (0.7725214712471994, 0.6288491382831005, 0.5740457442420478))
({'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 1, 'R': 3}, (0.7729648991784914, 0.6287674589561382, 0.5744082757627194))
({'V': 4, 'DEFAULT': 0, 'A': 4, 'N': 1, 'R': 3}, (0.7732216206123973, 0.6287674589561382, 0.5741627541491975))
({'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 2, 'R': 5}, (0.7726848394324123, 0.6286041003022135, 0.5737641923672918))
({'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 1, 'R': 3}, (0.7736417102315161, 0.6285224209752511, 0.5742844847805798))
({'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 2, 'R': 2}, (0.7729648991784914, 0.6285224209752511, 0.5733798570021756))
({'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 2, 'R': 3}, (0.7726381628080657, 0.6285224209752511, 0.5734901042028655))
({'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 1, 'R': 4}, (0.7727081777445856, 0.6284407416482888, 0.5738325527087019))
({'V': 5, 'DEFAULT': 0, 'A': 5, 'N': 2, 'R': 3}, (0.772661501120239, 0.6284407416482888, 0.5734266845925936))
({'V': 4, 'DEFAULT': 0, 'A': 4, 'N': 1, 'R': 2}, (0.7732216206123973, 0.6283590623213264, 0.573747242395319))
({'V': 4, 'DEFAULT': 0, 'A': 3, 'N': 2, 'R': 3}, (0.7721247199402539, 0.6283590623213264, 0.5735290415262159))
({'V': 5, 'DEFAULT': 0, 'A': 3, 'N': 1, 'R': 2}, (0.7735716952949963, 0.6283590623213264, 0.5739719551236655))
({'V': 5, 'DEFAULT': 0, 'A': 5, 'N': 1, 'R': 4}, (0.7734783420463032, 0.6283590623213264, 0.5740366168784327))
({'V': 3, 'DEFAULT': 0, 'A': 4, 'N': 1, 'R': 1}, (0.773198282300224, 0.6282773829943641, 0.5738674064768602))
({'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 1, 'R': 2}, (0.7735250186706497, 0.6282773829943641, 0.5737697872208299))
({'V': 5, 'DEFAULT': 0, 'A': 5, 'N': 2, 'R': 2}, (0.7731282673637042, 0.6282773829943641, 0.5731418282344212))
({'V': 4, 'DEFAULT': 0, 'A': 5, 'N': 2, 'R': 1}, (0.7730349141150112, 0.6281957036674017, 0.5736768697028952))
({'V': 5, 'DEFAULT': 0, 'A': 4, 'N': 2, 'R': 1}, (0.7731516056758775, 0.6281957036674017, 0.5728889906700161))
