({'A': 5, 'R': 3, 'DEFAULT': 0, 'V': 1, 'N': 1}, (0.8772871545929798, 0.6248468512619456, 0.5885076231176635))
({'A': 4, 'R': 2, 'DEFAULT': 0, 'V': 1, 'N': 1}, (0.8773805078416729, 0.6246834926080209, 0.5884730991437751))
({'A': 2, 'DEFAULT': 0, 'R': 1, 'V': 2, 'N': 3}, (0.8773805078416729, 0.6246018132810586, 0.5885886628061757))
({'A': 3, 'DEFAULT': 0, 'R': 2, 'V': 3, 'N': 5}, (0.8773805078416729, 0.6246018132810586, 0.5885886628061757))
({'A': 4, 'R': 1, 'DEFAULT': 0, 'V': 1, 'N': 1}, (0.8773104929051531, 0.6246018132810586, 0.5883201675639108))
({'A': 4, 'R': 1, 'DEFAULT': 0, 'V': 3, 'N': 5}, (0.8773104929051531, 0.6246018132810586, 0.5885822362377269))
({'A': 4, 'R': 1, 'DEFAULT': 0, 'V': 4, 'N': 5}, (0.8773571695294996, 0.6246018132810586, 0.5885822362377269))
({'A': 4, 'R': 2, 'DEFAULT': 0, 'V': 1, 'N': 3}, (0.8774271844660194, 0.6246018132810586, 0.5885892974038947))
({'A': 5, 'R': 1, 'DEFAULT': 0, 'V': 4, 'N': 5}, (0.8773338312173263, 0.6246018132810586, 0.5885900592028218))
({'A': 5, 'R': 2, 'DEFAULT': 0, 'V': 1, 'N': 3}, (0.8772871545929798, 0.6246018132810586, 0.5885066922447368))
({'A': 5, 'R': 4, 'DEFAULT': 0, 'V': 1, 'N': 4}, (0.8773805078416729, 0.6246018132810586, 0.5885066922447368))
({'A': 2, 'DEFAULT': 0, 'R': 1, 'V': 2, 'N': 4}, (0.8774271844660194, 0.6245201339540962, 0.5884349698956215))
({'A': 3, 'DEFAULT': 0, 'R': 1, 'V': 2, 'N': 3}, (0.8773338312173263, 0.6245201339540962, 0.5885276125468938))
({'A': 3, 'DEFAULT': 0, 'R': 1, 'V': 3, 'N': 4}, (0.8772871545929798, 0.6245201339540962, 0.5884357648583464))
({'A': 4, 'R': 1, 'DEFAULT': 0, 'V': 2, 'N': 1}, (0.8773571695294996, 0.6245201339540962, 0.5881458418889142))
({'A': 4, 'R': 1, 'DEFAULT': 0, 'V': 3, 'N': 4}, (0.8773571695294996, 0.6245201339540962, 0.5885276125468938))
({'A': 4, 'R': 2, 'DEFAULT': 0, 'V': 3, 'N': 4}, (0.8773104929051531, 0.6245201339540962, 0.5885276125468938))
({'A': 4, 'R': 2, 'DEFAULT': 0, 'V': 4, 'N': 5}, (0.8773104929051531, 0.6245201339540962, 0.5885119578833996))
({'A': 4, 'R': 3, 'DEFAULT': 0, 'V': 1, 'N': 1}, (0.8773104929051531, 0.6245201339540962, 0.5885054742994066))
({'A': 5, 'R': 1, 'DEFAULT': 0, 'V': 1, 'N': 3}, (0.8773104929051531, 0.6245201339540962, 0.5884442431879626))
