({'V': 4, 'R': 2, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7733383121732637, 0.6290124969370252, 0.5744189421515966))
({'V': 4, 'R': 1, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7736183719193428, 0.6289308176100629, 0.5743691580658424))
({'R': 3, 'DEFAULT': 0, 'N': 1, 'A': 4, 'V': 4}, (0.7731516056758775, 0.6287674589561382, 0.5741534290780165))
({'R': 3, 'DEFAULT': 0, 'N': 1, 'A': 3, 'V': 4}, (0.773011575802838, 0.6286857796291758, 0.5743377501361645))
({'V': 5, 'R': 4, 'DEFAULT': 0, 'A': 4, 'N': 2}, (0.7724514563106796, 0.6286857796291758, 0.5739151622520645))
({'R': 3, 'DEFAULT': 0, 'N': 2, 'A': 4, 'V': 5}, (0.772754854368932, 0.6285224209752511, 0.5734901042028655))
({'V': 5, 'R': 2, 'DEFAULT': 0, 'A': 3, 'N': 1}, (0.7735950336071695, 0.6284407416482888, 0.5741541323659711))
({'R': 3, 'DEFAULT': 0, 'N': 1, 'A': 4, 'V': 5}, (0.7736183719193428, 0.6284407416482888, 0.5742232649046325))
({'V': 5, 'R': 5, 'DEFAULT': 0, 'A': 4, 'N': 2}, (0.7726848394324123, 0.6284407416482888, 0.5736324888339095))
({'V': 3, 'R': 1, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.7732216206123973, 0.6283590623213264, 0.5739286188240958))
({'V': 5, 'R': 2, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.7736183719193428, 0.6283590623213264, 0.5738402957738996))
({'R': 3, 'DEFAULT': 0, 'N': 2, 'A': 5, 'V': 5}, (0.7727081777445856, 0.6283590623213264, 0.5733643465828965))
({'V': 5, 'R': 2, 'DEFAULT': 0, 'A': 4, 'N': 2}, (0.773011575802838, 0.6282773829943641, 0.5730699615233249))
({'R': 4, 'DEFAULT': 0, 'N': 1, 'A': 3, 'V': 4}, (0.7727081777445856, 0.6282773829943641, 0.5737101377141892))
({'V': 5, 'R': 4, 'DEFAULT': 0, 'A': 5, 'N': 1}, (0.7734550037341299, 0.6282773829943641, 0.5739636764560853))
({'V': 4, 'R': 2, 'DEFAULT': 0, 'A': 4, 'N': 1}, (0.7733616504854369, 0.6281957036674017, 0.5736155432672979))
({'V': 5, 'R': 2, 'DEFAULT': 0, 'A': 5, 'N': 2}, (0.7731049290515309, 0.6281957036674017, 0.5731754405797939))
({'R': 3, 'DEFAULT': 0, 'N': 2, 'A': 3, 'V': 4}, (0.7721480582524272, 0.6281957036674017, 0.5734055494716571))
({'R': 3, 'DEFAULT': 0, 'N': 1, 'A': 3, 'V': 5}, (0.7734316654219567, 0.6281140243404394, 0.5738671549435811))
({'R': 3, 'DEFAULT': 0, 'N': 1, 'A': 5, 'V': 5}, (0.7735716952949963, 0.6281140243404394, 0.5737298488420581))
